gene	logFC	fdr	betweenness	source_node_score	step_1	step_2	nbh_score	score
MAP3K3	1.93374297742431	3.4124432372216	1314.71873258735	8675.55038770641	19011205.3475973	52514939.6331074	1.43062864057258	29.1314552908896
ZNF362	2.24417513015973	3.07103366064856	1258.5810752571	8674.06193958587	2654179.62787857	61901618.7583743	1.32881360577017	29.1261162588088
SHTN1	2.99343250782154	4.10646014677934	686.466821899351	8438.33251546235	8055352.4546625	69726812.0000172	1.51966248473426	28.3353364402187
PIP5K1C	2.00955414529843	3.0436876870062	1366.0551487242	8355.41512939914	3899810.14899125	67427463.3938297	1.4277634243996	28.0566471963734
TSPO	3.19553526774365	4.78853366799418	541.688195915166	8288.87388981063	5629135.54373182	70403411.966607	1.49497127531172	27.833472191159
SH3BP1	4.59331551027539	6.82049861336752	263.017266478342	8239.98958039564	2263907.15517885	61654995.490106	1.31936097401162	27.6687620396562
ATPAF2	2.35360926018629	3.60749183887889	965.289342137669	8195.910977035	4305483.37718452	70357231.5621742	1.47552856221718	27.521300097356
SIPA1	2.46590160827869	4.2875288160525	770.877315228789	8150.19616056632	22769263.558922	56670728.1255746	1.54291522142841	27.3680467874625
DENND4C	3.88991039836356	5.85309908110653	357.223673103741	8133.27965538969	998195.413557702	44742135.3017765	1.03686191150233	27.3095535762122
CYP2S1	4.95160871095395	4.02889025719469	406.159604486125	8102.67619355465	24439271.471656	53840146.0943807	1.52665141244856	27.2084521565373
RUFY4	11.0103280833914	4.51074031908179	162.791427120311	8084.99240644329	3634006.67255664	66859611.8578227	1.41572819978024	27.1487095101903
ENSG00000182957	3.05073804285018	3.49142643806803	757.598134746062	8069.50157488732	2143113.86913748	67942281.8496874	1.40982029055844	27.0966819015054
BLNK	7.17693083437459	3.45797119573017	324.665740982094	8057.43101885884	19767007.2301738	49889440.6217394	1.40360205287786	27.0561362314238
ARHGAP18	2.91584786273052	3.92654972074233	703.21224096511	8051.23278647005	7043211.51323912	66812187.8336158	1.46402318746015	27.035529597181
PALLD	4.40096384409498	5.12251980915492	355.293835288061	8009.75291704108	731347.243461642	56252868.1583103	1.21465256255247	26.8954309282244
SELENON	2.31404945887704	2.95478688803384	1169.45744092651	7996.19214909796	7376362.32940644	68040014.7303697	1.48623790325841	26.850814807928
LMBR1L	3.05842178203688	4.87540986007926	532.590191558217	7941.48414857579	1240588.50879335	55552392.1249682	1.21171611465382	26.6662205478439
MOSPD2	2.27691792039206	3.94245592524669	872.340005771515	7830.68964490632	2742115.07587959	61473173.9848662	1.32376312438062	26.2946234414777
TNFAIP8L1	3.24993098409159	4.51999260050031	529.314674497626	7775.45471876159	698481.203891653	45471651.4567586	1.04386797931794	26.1082420801103
SLC25A24	1.81965392449993	3.13856786822391	1358.19622229006	7756.80441254665	24929739.3304747	52927310.5763842	1.52071580332722	26.0472278529732
ARHGAP26	3.07032807245713	4.68790784590517	528.231942457307	7603.06159593598	1277108.40704258	60300124.4455409	1.28437688906782	25.5302696071901
IQSEC1	2.33582751472336	3.86297809488354	841.189493145288	7590.26353379928	5498576.92054282	68760653.2619698	1.46978271822981	25.4879248063164
IL6R	4.35771806137895	6.36382638672133	272.569371469632	7558.8287159129	204986.807699269	27502139.9775976	0.722709313417761	25.3798797010477
CRYL1	2.82399411640356	3.24035451638473	824.204094711903	7542.07909968015	2123631.40694473	65821933.6549059	1.37869266448153	25.3258481264853
RNF13	2.76316131448193	4.37561375809913	622.922140071597	7531.45674381664	19617316.2730452	56347559.1405764	1.49401308726269	25.290572581615
SULT1A1	4.85975497775008	5.09689579412155	301.258939944023	7462.08293226583	902282.150321786	67626388.5274473	1.38720183293303	25.0573034695796
LINC02285	9.43964760305479	3.80048211146539	207.979138527762	7461.29565588481	26770269.5695804	51028602.2963343	1.51989751127499	25.0551058286676
ZFYVE26	2.43752424370115	3.42181760384702	888.424964224866	7410.14239584665	2108433.15483252	56611902.3821292	1.24118630952403	24.8824319265494
ACOX1	2.10083624952249	4.1524663274712	848.985107372021	7406.25044793575	433144.223221435	38310181.0755878	0.920035648204109	24.8682871805299
KCNJ5	7.52266314254341	4.68006525951572	210.205641565288	7400.61636177779	4069830.76418742	54836618.1214295	1.24401761800156	24.8504594288665
RP2	1.81721785786928	3.10181396050668	1306.73750327071	7365.65033122223	13041970.9207575	67194292.562803	1.55403537261841	24.7341078907487
RFTN1	3.86301802597703	5.02381755325985	378.154115988319	7338.8739001537	772991.343940716	49973479.6316667	1.11737569005219	24.6427446694797
SAT2	1.79911099737225	2.92245127798708	1392.61707153646	7322.12186055502	17617530.2762211	49269874.4997711	1.36319866367843	24.5873279167257
PRKACB	2.76579755863693	4.68150391598757	563.631150032517	7297.9480419448	657811.88877309	53958199.2511315	1.1780901234133	24.5055470535566
SUOX	2.22832186000059	3.52979362008902	916.144201388617	7205.94713537092	9687517.3439586	67811772.1285906	1.51568107639462	24.1978034067981
NAALADL1	8.53135297934954	5.05194346706011	166.7815699878	7188.27114800654	121396.881476856	21655891.6142829	0.607654673447507	24.1354108113588
ENSG00000240143	6.40227158146047	3.06887859409003	364.22116472631	7156.14249143079	6426620.11468092	68169530.6531646	1.47458125188229	24.0304549876665
LOC100507642	5.21456867865126	3.0257551719347	453.344837711497	7152.87854364552	1000947.08571559	64771609.2065074	1.34680017984427	24.0190678476717
RAB11FIP4	7.77259464539234	5.11405722382439	179.716698324221	7143.6477847397	4009062.63291068	60929936.745188	1.33448838554358	23.9880358446808
